ID,request_ID,fileName,mimeType,storagePath,createdAt,createdBy,modifiedAt,modifiedBy
1,1,laptop_receipt.pdf,application/pdf,/uploads/requests/1/laptop_receipt.pdf,2024-01-15 09:30:00,6,2024-01-15 09:30:00,6
2,2,printer_error_photo.jpg,image/jpeg,/uploads/requests/2/printer_error_photo.jpg,2024-02-01 10:45:00,7,2024-02-01 10:45:00,7
3,3,network_diagram.pdf,application/pdf,/uploads/requests/3/network_diagram.pdf,2024-02-02 14:30:00,8,2024-02-02 14:30:00,8
4,4,license_agreement.pdf,application/pdf,/uploads/requests/4/license_agreement.pdf,2024-02-03 09:15:00,4,2024-02-03 09:15:00,4
5,5,monitor_specifications.pdf,application/pdf,/uploads/requests/5/monitor_specifications.pdf,2024-02-05 10:15:00,5,2024-02-05 10:15:00,5
6,7,vpn_configuration.txt,text/plain,/uploads/requests/7/vpn_configuration.txt,2024-02-08 11:30:00,7,2024-02-08 11:30:00,7
7,8,performance_benchmark.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,/uploads/requests/8/performance_benchmark.xlsx,2024-02-10 13:45:00,6,2024-02-10 13:45:00,6
8,9,device_setup_guide.pdf,application/pdf,/uploads/requests/9/device_setup_guide.pdf,2024-02-12 09:45:00,7,2024-02-12 09:45:00,7
9,3,wifi_signal_test.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,/uploads/requests/3/wifi_signal_test.xlsx,2024-02-02 15:45:00,2,2024-02-02 15:45:00,2
10,10,network_access_log.txt,text/plain,/uploads/requests/10/network_access_log.txt,2024-02-14 16:30:00,2,2024-02-14 16:30:00,2
