ID,assetTag,serialNumber,name,status,purchaseDate,category_ID,vendor_ID,createdAt,createdBy,modifiedAt,modifiedBy
1,ASSET-001,SN-DELL-20240101,Dell Latitude 5540,In Use,2024-01-15,1,1,2024-01-15 11:00:00,1,2024-02-01 09:30:00,1
2,ASSET-002,SN-HP-20240102,HP EliteBook 850,In Use,2024-01-20,1,2,2024-01-20 11:00:00,1,2024-02-01 09:30:00,1
3,ASSET-003,SN-DELL-20240103,Dell OptiPlex 7090,In Use,2024-01-22,2,1,2024-01-22 11:00:00,1,2024-02-01 09:30:00,1
4,ASSET-004,SN-LEN-20240104,Lenovo ThinkPad E15,Available,2024-01-25,1,3,2024-01-25 11:00:00,1,2024-02-05 14:15:00,2
5,ASSET-005,SN-DELL-20240105,Dell UltraSharp 27,In Use,2024-02-01,3,1,2024-02-01 11:00:00,1,2024-02-01 09:30:00,1
6,ASSET-006,SN-HP-20240106,HP LaserJet Enterprise,In Use,2024-02-03,4,2,2024-02-03 11:00:00,1,2024-02-01 09:30:00,1
7,ASSET-007,SN-CISCO-20240107,Cisco Catalyst 2960,In Use,2024-02-05,5,6,2024-02-05 11:00:00,1,2024-02-01 09:30:00,1
8,ASSET-008,SN-DELL-20240108,Dell PowerEdge R650,In Use,2024-02-10,6,1,2024-02-10 11:00:00,1,2024-02-01 09:30:00,1
9,ASSET-009,SN-APPLE-20240109,Apple iPad Pro,In Use,2024-02-12,7,4,2024-02-12 11:00:00,1,2024-02-01 09:30:00,1
10,ASSET-010,SN-LEN-20240110,Lenovo Legion Pro,Retired,2023-06-15,1,3,2023-06-15 11:00:00,1,2024-01-30 16:45:00,2
