ID,title,description,status,priority,requester_ID,assignedAgent_ID,createdAt,createdBy,modifiedAt,modifiedBy
1,Laptop Setup for New Employee,Need to set up laptop for new hire John Smith,Resolved,High,6,2,2024-01-15 09:00:00,6,2024-01-15 15:00:00,2
2,Printer Not Working,Office printer on 3rd floor not responding,In Progress,High,7,3,2024-02-01 10:30:00,7,2024-02-01 11:00:00,3
3,Network Connectivity Issues,Intermittent WiFi in conference room B,In Progress,Medium,8,2,2024-02-02 14:15:00,8,2024-02-02 14:45:00,2
4,Software License Renewal,Need to renew Microsoft Office licenses,Pending,Medium,4,2,2024-02-03 09:00:00,4,2024-02-03 09:30:00,2
5,Monitor Replacement,Need dual monitor setup for finance team,In Progress,Low,5,3,2024-02-05 10:00:00,5,2024-02-05 10:30:00,3
6,Email Account Access,Former employee email needs to be archived,Resolved,High,2,2,2024-02-06 08:00:00,2,2024-02-06 09:00:00,2
7,VPN Configuration,Remote employee needs VPN access setup,Resolved,High,7,2,2024-02-08 11:00:00,7,2024-02-08 12:30:00,2
8,Hardware Upgrade Request,Laptop too slow for development work,In Progress,Medium,6,3,2024-02-10 13:00:00,6,2024-02-10 13:30:00,3
9,Mobile Device Setup,iPhone setup for new sales representative,Pending,Medium,7,2,2024-02-12 09:30:00,7,2024-02-12 10:00:00,2
10,System Access Restoration,Cannot access shared network drive,Resolved,High,8,2,2024-02-14 15:45:00,8,2024-02-14 16:15:00,2
